P:Project Key (Charge Code or PACE ID),P:PTN Number,S:FA Number,S:USID,S:Site Name,P:PACE Job Number,S:Address Line 1,S:Address Line 2,S:City,S:State,S:ZIP,S:Latitude,S:Longitude
507406-7833,3551A0T5A0,10105344,86897.00,CVWD AMETHYST,MRLOS070880,"5263 AMETHYST STREET,",,RANCHO CUCAMONGA,CA,91737,34.16019000,-117.59664000
507406-7632,3551A0T5C5,10094500,24271.00,CYPRESS & RUTLAND,MRLOS070438,"10261 ARLINGTON AVENUE,",,RIVERSIDE,CA,92503,33.94694000,-117.47586000
521517-S00456,3551A0Y6D6,12731249,158082.00,DESERT OASIS,MRLOS078616,74200 COUNTRY CLUB DRIVE,,PALM DESERT,CA,92260,33.75861100,-116.37100000
521517-S00176,3551A0Y656,10101632,48044.00,DIAMOND BAR,MRLOS078705,1155 DIAMOND BAR BOULEVARD,,DIAMOND BAR,CA,91765,34.00250000,-117.81166670
521517-S00061,3551A0Y6GV,12787052,140609.00,DUFFEY CHURCH,MRLOS078623,1618 VIRGINIA AVENUE,,BAKERSFIELD,CA,93307,35.36133200,-118.98449500
521517-S00522,3551A0Y5WF,10103497,48000.00,EAGLE ROCK  and  LINCOLN,MRLOS078203,4364 Eagle Rock Blvd,,LOS ANGELES,CA,90041,34.12352780,-118.22116670
521517-S00371,3551A0Y66W,10100123,88179.00,EL0008-02 BOYS and GIRLS CLUB VENICE,MRLOS078495,2300 LINCOLN BOULEVARD,,VENICE,CA,90291,33.99475000,-118.45336110
521517-S00136,3551A0Y6SP,10068098,81489.00,EL0049-11 SCE/WESTERN TORRANCE,MRLOS078207,17605 WESTERN AVENUE,,TORRANCE,CA,90504,33.87088890,-118.31013890
521517-S00010,3551A0Y6PN,10068048,51664.00,EL0096-01(SM-469) FECHO BLDG,MRLOS078123,12655 WASHINGTON PLACE,,CULVER CITY,CA,90230,33.99730560,-118.43359720
521517-S00537,3551A0Y62Q,10127658,119801.00,EL0326-02 ISRAEL MISSIONARY BAPTIST CHURCH,MRLOS078335,4501 SOUTH COMPTON AVENUE,,LOS ANGELES,CA,90011,34.00241100,-118.24816400
521517-S00450,3551A0Y6Q0,11650444,135076.00,EL0506-CLV1621,MRLOS078601,8200 WILSHIRE BOULEVARD,,LOS ANGELES,CA,90048,34.06377000,-118.37189200
521517-S00394,3551A0Y696,10086063,11815.00,ENCINO,MRLOS078277,16861 VENTURA BOULEVARD,,ENCINO,CA,91436,34.15944400,-118.50000000
507406-6921,3551A0T3WF,10086030,11835.00,ENCINO WEST,MRLOS070590,5115 WHITE OAK AVENUE,,ENCINO,CA,91316,34.16278000,-118.51861000
521517-S00462,3551A0Y6X6,10103979,87878.00,ES0109-02 MARGARITA SQUARE,MRLOS078452,39400 MURRIETA HOT SPRINGS ROAD,,MURRIETA,CA,92563,33.55538890,-117.15894440
507406-7861,3551A0T4ME,10127678,109533.00,ES0267-02 FOOTHILL PLAZA,MRLOS070584,16910 FOOTHILL BOULEVARD,,FONTANA,CA,92335,34.10794000,-117.43378000
507406-7921,3551A0T44T,10150386,124696.00,ES0341-01 JURUPA HILLS,MRLOS070659,11464 SIERRA AVENUE,,FONTANA,CA,92335,34.04580000,-117.44090000
507406-7625,3551A0T4CT,10093015,24290.00,EXPOSITION - HALLDALE,MRLOS070398,"3764 NORMANDIE AVENUE,",,LOS ANGELES,CA,90007,34.01892000,-118.29992000
521517-S00483,3551A0Y6AD,13021951,159635.00,FAKLER,MRLOS078734,4136 JEWETTA AVENUE,,BAKERSFIELD,CA,93312,35.39776670,-119.12687780
507406-6901,3551A0T4CA,10085856,12060.00,FIRESTONE/ALAMEDA,MRLOS070959,2105 EAST 90TH STREET,,LOS ANGELES,CA,90002,33.95500000,-118.23306000
521517-S00267,3551A0Y6CJ,10106089,137063.00,FIRST CONGREGATIONAL CHURCH,MRLOS078599,805 RAMONA AVENUE,,CORONA,CA,92882,33.87303300,-117.56535000
507406-6951,3551A0T5AG,10086463,40500.00,FOOTHILL / VINEYARD,MRLOS070448,"7484 VINEYARD AVENUE,",,RANCHO CUCAMONGA,CA,91730,34.12069000,-117.61225000
507406-7633,3551A0T3Y1,10094508,118923.00,FOOTHILL MARKET PLACE,MRLOS070456,12859 FOOTHILL BOULEVARD,,RANCHO CUCAMONGA,CA,91739,34.10461000,-117.52542000
521517-S00210,3551A0Y6HY,10086809,35033.00,FRITO LAY,MRLOS078441,2851 ADA ROAD,,BAKERSFIELD,CA,93314,35.38697220,-119.25905560
